,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,temperature
0,14379685331,-13,-2,-1002,-26,-11,0,4528
1,14379885347,-13,-2,-1002,-22,-6,0,4480
2,14380085381,-13,-3,-1001,-23,-9,-1,4480
3,14380285344,-13,-2,-1001,-24,-8,-1,4480
4,14380485348,-13,-2,-1002,-24,-7,-1,4480
5,14380685347,-13,-2,-1001,-24,-9,-3,4480
6,14380885357,-13,-3,-1001,-23,-8,0,4480
7,14381085312,-13,-2,-1001,-23,-8,-2,4528
8,14381285333,-13,-2,-1002,-25,-6,-1,4480
9,14381485333,-13,-2,-1002,-24,-7,0,4528
10,14381685384,-13,-3,-1002,-27,-11,0,4480
11,14381885372,-13,-2,-1002,-23,-11,0,4480
12,14382085350,-13,-2,-1002,-23,-6,-2,4480
13,14382285313,-13,-3,-1002,-22,-7,-2,4480
14,14382485299,-13,-2,-1002,-26,-11,0,4528
15,14382685309,-13,-3,-1002,-25,-9,-1,4528
16,14382885334,-13,-2,-1002,-23,-7,0,4480
17,14383085358,-13,-2,-1002,-26,-8,-1,4480
18,14383285337,-13,-2,-1002,-23,-11,2,4480
19,14383485397,-13,-3,-1002,-23,-10,0,4480
20,14383685331,-13,-2,-1002,-21,-7,0,4480
21,14383885371,-13,-3,-1002,-24,-8,0,4480
22,14384085321,-13,-2,-1001,-19,-6,-1,4480
23,14384285387,-13,-3,-1001,-27,-7,0,4480
24,14384485354,-13,-2,-1002,-21,-8,0,4528
25,14384685350,-13,-3,-1001,-23,-10,-1,4480
26,14384885349,-12,-3,-1002,-26,-11,0,4528
27,14385085285,-12,-3,-1002,-25,-12,0,4528
28,14385285374,-14,-3,-1002,-24,-7,-1,4528
29,14385485368,-13,-2,-1002,-23,-9,-2,4480
30,14385685350,-13,-2,-1002,-27,-10,-1,4480
31,14385885371,-13,-2,-1002,-23,-5,-1,4480
32,14386085353,-13,-3,-1001,-23,-7,-1,4528
33,14386285372,-13,-3,-1001,-23,-9,-2,4528
34,14386485351,-14,-2,-1001,-24,-10,-3,4480
35,14386685330,-13,-3,-1002,-23,-7,0,4528
36,14386885285,-13,-2,-1001,-23,-9,0,4528
37,14387085346,-13,-3,-1002,-26,-6,-2,4480
38,14387285350,-13,-3,-1001,-28,-8,-2,4528
39,14387485363,-13,-3,-1001,-24,-8,0,4480
40,14387685298,-12,-2,-1002,-24,-8,0,4528
41,14387885348,-12,-2,-1002,-21,-10,0,4480
42,14388085350,-13,-2,-1001,-21,-7,-2,4528
43,14388285295,-14,-2,-1001,-24,-7,-1,4480
44,14388485353,-13,-3,-1002,-19,-6,0,4528
45,14388685287,-13,-3,-1001,-19,-5,-2,4480
46,14388885388,-13,-3,-1002,-24,-9,-2,4528
47,14389085336,-13,-3,-1001,-25,-12,0,4480
48,14389285311,-13,-3,-1002,-20,-8,-2,4528
49,14389485351,-13,-3,-1002,-24,-7,0,4528
50,14389685354,-13,-3,-1002,-18,-8,-2,4528
51,14389885345,-13,-3,-1002,-23,-10,2,4528
52,14390085382,-13,-2,-1002,-24,-9,-1,4480
53,14390285360,-13,-3,-1002,-24,-11,-1,4528
54,14390485312,-13,-3,-1001,-22,-9,0,4528
55,14390685405,-13,-3,-1001,-22,-7,-3,4480
56,14390885334,-13,-3,-1002,-24,-8,-1,4480
57,14391085351,-13,-3,-1002,-20,-9,-1,4528
58,14391285326,-13,-3,-1002,-24,-9,0,4528
59,14391485342,-13,-2,-1003,-24,-9,0,4480
60,14391685352,-13,-3,-1002,-26,-10,-1,4480
61,14391885349,-13,-2,-1002,-25,-6,0,4480
62,14392085331,-13,-2,-1002,-24,-9,-2,4480
63,14392285330,-13,-2,-1002,-25,-9,-1,4480
64,14392485332,-13,-2,-1002,-23,-7,-1,4528
65,14392685324,-13,-3,-1002,-22,-8,-2,4480
66,14392885332,-13,-3,-1002,-22,-9,-1,4480
67,14393085331,-13,-2,-1002,-24,-5,-1,4480
68,14393285359,-13,-3,-1001,-21,-6,0,4480
69,14393485351,-13,-3,-1002,-23,-7,-2,4480
70,14393685386,-13,-3,-1001,-24,-4,0,4480
71,14393885336,-13,-2,-1001,-25,-11,-1,4480
72,14394085305,-13,-2,-1002,-22,-7,-2,4528
73,14394285372,-13,-2,-1002,-24,-7,0,4480
74,14394485354,-13,-2,-1002,-24,-10,0,4480
75,14394685380,-13,-2,-1002,-21,-8,-2,4480
76,14394885332,-13,-3,-1002,-24,-4,-2,4528
77,14395085337,-13,-3,-1002,-25,-6,-2,4480
78,14395285342,-13,-3,-1002,-26,-6,0,4480
79,14395485363,-13,-2,-1001,-23,-7,0,4528
80,14395685363,-13,-3,-1002,-23,-7,0,4528
81,14395885295,-13,-2,-1002,-25,-4,0,4480
82,14396085397,-13,-2,-1002,-24,-9,0,4528
83,14396285338,-13,-2,-1001,-25,-6,0,4528
84,14396485320,-13,-3,-1002,-22,-6,-2,4480
85,14396685328,-13,-2,-1001,-27,-9,0,4480
86,14396885352,-14,-2,-1001,-22,-8,-1,4480
87,14397085315,-13,-2,-1002,-24,-8,-1,4528
88,14397285324,-13,-3,-1002,-20,-6,0,4480
89,14397485343,-13,-2,-1001,-24,-7,-2,4528
90,14397685331,-13,-3,-1002,-22,-9,-3,4480
91,14397885373,-14,-2,-1002,-21,-9,-2,4528
92,14398085331,-13,-3,-1002,-24,-8,0,4528
93,14398285345,-13,-3,-1002,-23,-13,0,4528
94,14398485392,-13,-3,-1002,-25,-10,-1,4528
95,14398685343,-13,-3,-1002,-23,-7,-1,4480
96,14398885379,-13,-3,-1002,-22,-8,0,4480
97,14399085295,-13,-2,-1002,-27,-8,0,4528
98,14399285356,-13,-3,-1002,-25,-6,-1,4528
99,14399485312,-13,-2,-1003,-23,-9,-2,4480
